ID,tournament,year,winner,winner_seed,winner_nationality,runner_up,runner_up_seed,runner_up_nationality,score
152,F,2017,Rafael Nadal,4,ESP,Stan Wawrinka,3,SUI,"6-2, 6-3, 6-1"
153,F,2018,Rafael Nadal,1,ESP,Dominic Thiem,7,AUT,"6-4, 6-3, 6-2"
154,A,1969,Rod Laver,1,AUS,AndrÈs Gimeno,9,ESP,"6-3, 6-4, 7-5"
155,A,1970,Arthur Ashe,4,USA,Dick Crealy,12,AUS,"6-4, 9-7, 6-2"
156,A,1971,Ken Rosewall,2,AUS,Arthur Ashe,3,USA,"6-1, 7-5, 6-3"
157,A,1972,Ken Rosewall,2,AUS,Malcolm Anderson,8,AUS,"7-6(7-2), 6-3, 7-5"
158,A,1973,John Newcombe,2,AUS,Onny Parun,12,NZL,"6-3, 6-7, 7-5, 6-1"
159,A,1974,Jimmy Connors,2,USA,Phil Dent,9,AUS,"7-6(9-7), 6-4, 4-6, 6-3"
160,A,1975,John Newcombe,2,AUS,Jimmy Connors,1,USA,"7-5, 3-6, 6-4, 7-6(9-7)"
161,A,1976,Mark Edmondson,99,AUS,John Newcombe,2,AUS,"6-7, 6-3, 7-6, 6-1"
162,A,1977,Roscoe Tanner,2,USA,Guillermo Vilas,1,ARG,"6-3, 6-3, 6-3"
163,A,1977,Vitas Gerulaitis,1,USA,John Lloyd,99,GBR,"6-3, 7-6(7-1), 5-7, 3-6, 6-2"
164,A,1978,Guillermo Vilas,1,ARG,John Marks,99,AUS,"6-4, 6-4, 3-6, 6-3"
165,A,1979,Guillermo Vilas,1,ARG,John Sadri,6,USA,"7-6(7-4), 6-3, 6-2"
166,A,1980,Brian Teacher,8,USA,Kim Warwick,14,AUS,"7-5, 7-6(7-4), 6-3"
167,A,1981,Johan Kriek,4,RSA,Steve Denton,99,USA,"6-2, 7-6(7-1), 6-7(1-7), 6-4"
168,A,1982,Johan Kriek,1,USA,Steve Denton,2,USA,"6-3, 6-3, 6-2"
169,A,1983,Mats Wilander,3,SWE,Ivan Lendl,1,TCH,"6-1, 6-4, 6-4"
170,A,1984,Mats Wilander,2,SWE,Kevin Curren,9,RSA,"6-7(5-7), 6-4, 7-6(7-3), 6-2"
171,A,1985,Stefan Edberg,6,SWE,Mats Wilander,3,SWE,"6-4, 6-3, 6-3"
